序号，项目编码，专业分类，差异类型，清单 1 点位，清单 2 点位，清单 3 点位，清单1 名称，清单 2 名称，清单 3 名称，关键差异，风险等级，核验确认
1,040103002003，土石方，类型 1，煤建新村 B 区，待解析，待解析，建渣外运，待解析，待解析，清单 3 明确起运距，高，______
2,041001001001，拆除，类型 1，煤建新村 B 区，待解析，待解析，混凝土路面拆除，待解析，待解析，清单 3 明确拆除对象，中，______
3,040103002005，土石方，类型 1，煤建新村 B 区，待解析，待解析，建渣外运，待解析，待解析，清单 3 明确运距，高，______
4,040203006001，道路，类型 1，煤建新村 B 区，待解析，待解析,5cm 厚改性沥青，待解析，待解析，清单 3 命名更通用，中，______
5,040103002002，土石方，类型 1，煤建新村 B 区，待解析，待解析，余方弃置，待解析，待解析，清单 3 明确增运，高，______
6,040103002001，土石方，类型 1，煤建新村 B 区，待解析，待解析，建渣外运，待解析，待解析，清单 3 明确运距，高，______
7,041001001002，拆除，类型 1，煤建新村 B 区，待解析，待解析，车行道沥青路面，待解析，待解析，清单 3 明确拆除内容，高，______
8,040103002004，土石方，类型 1，煤建新村 B 区，待解析，待解析，余方弃置，待解析，待解析，清单 3 明确增运，高，______
9,041001001004，拆除，类型 1，煤建新村 B 区，待解析，待解析，车行道沥青路面，待解析，待解析，清单 3 明确拆除内容，高，______
10,041001006008，拆除，类型 1，煤建新村 B 区，待解析，待解析，拆除原有，待解析，待解析，清单 3 明确管径材质，中，______
11,040203007001，道路，类型 1，煤建新村 B 区，待解析，待解析，透水混凝土基层，待解析，待解析，清单 3 明确位置，中，______
12,040103002006，土石方，类型 1，煤建新村 B 区，待解析，待解析，余方弃置，待解析，待解析，清单 3 明确增运，高，______
13,041001001003，拆除，类型 1，煤建新村 B 区，待解析，待解析，混凝土路面拆除，待解析，待解析，清单 3 明确路面类型，中，______
14,041106001001，措施，类型 1，煤建新村 B 区，待解析，待解析，高空作业车，待解析，待解析，清单 3 命名更规范，中，______
15,040303006001，支护，类型 1，煤建新村 B 区，待解析，待解析，混凝土支撑腰梁，待解析，待解析，清单 3 明确用途，中，______
16,041001002002，拆除，类型 2，煤建新村 B 区，待解析，待解析，透水砖人行道路面拆除，待解析，待解析，清单 3 明确厚度 24cm，高，______
17,041001006003，拆除，类型 2，煤建新村 B 区，待解析，待解析，拆除原有管道 (DN500)，待解析，待解析，特征描述详略不同，中，______
18,041001006005，拆除，类型 2，煤建新村 B 区，待解析，待解析，拆除 DN400 塑料管，待解析，待解析，特征描述详略不同，中，______
19,041001006009，拆除，类型 2，煤建新村 B 区，待解析，待解析，拆除原有管道，待解析，待解析，清单 3 管径不同，高，______
20,041001002001，拆除，类型 2，煤建新村 B 区，待解析，待解析，透水砖人行道路面拆除，待解析，待解析，清单 3 明确厚度 24cm，高，______
21,041001006001，拆除，类型 2，煤建新村 B 区，待解析，待解析，拆除原有管道 (DN300)，待解析，待解析，特征描述详略不同，中，______
22,040204002002，道路，类型 2，煤建新村 B 区，待解析，待解析，人行道透水砖路面，待解析，待解析，清单 3 详细描述垫层，高，______
23,040101002002，土石方，类型 2，煤建新村 B 区，待解析，待解析，挖沟槽土石方，待解析，待解析，清单 3 明确人工开挖，高，______
24,040101002003，土石方，类型 2，煤建新村 B 区，待解析，待解析，挖沟槽土石方，待解析，待解析，清单 3 明确人工开挖，高，______
25,040504009003，排水，类型 2，煤建新村 B 区，待解析，待解析，雨水口清掏，待解析，待解析，特征描述详略不同，低，______
26,040103001005，回填，类型 2，煤建新村 B 区，待解析，待解析，中粗砂回填，待解析，待解析，特征描述详略不同，低，______
27,041001006004，拆除，类型 2，煤建新村 B 区，待解析，待解析，拆除 DN300 塑料管，待解析，待解析，特征描述详略不同，中，______
28,040103001007，回填，类型 2，煤建新村 B 区，待解析，待解析，沟槽土石方回填，待解析，待解析，特征描述详略不同，低，______
29,040101002001，土石方，类型 2，煤建新村 B 区，待解析，待解析，挖沟槽土石方，待解析，待解析，清单 3 明确人工开挖，高，______
30,041001006006，拆除，类型 2，煤建新村 B 区，待解析，待解析，拆除 DN500 塑料管，待解析，待解析，特征描述详略不同，中，______
31,040204002001，道路，类型 2，煤建新村 B 区，待解析，待解析，人行道透水砖路面，待解析，待解析，清单 3 详细描述垫层，高，______
32,041001006007，拆除，类型 2，煤建新村 B 区，待解析，待解析，拆除原有塑料管 (DN300)，待解析，待解析，特征描述详略不同，中，______
33,060104002002，排水，类型 2，煤建新村 B 区，待解析，待解析，管道清淤，待解析，待解析，无差异，低，______
34,010512008003，排水，类型 2，煤建新村 B 区，待解析，待解析，现状排水沟增加，待解析，待解析，特征描述详略不同，低，______
35,041001002003，拆除，类型 2，煤建新村 B 区，待解析，待解析，透水砖人行道路面拆除，待解析，待解析，清单 3 明确厚度 24cm，高，______
36,041001006002，拆除，类型 2，煤建新村 B 区，待解析，待解析，拆除原有管道 (DN400)，待解析，待解析，特征描述详略不同，中，______
37,010404001002，回填，类型 2，煤建新村 B 区，待解析，待解析，砂垫层，待解析，待解析，特征描述详略不同，低，______
