序号,项目编码,专业分类,差异类型,清单1 名称,清单1 页码,清单 2 名称,清单 2 页码,清单 3 名称,清单 3 页码,核验确认
1,040103002003,土石方,类型 1,1 m3 1873,P4,,待解析,,待解析,
2,041001001001,拆除,类型 1,1 4.其他:满足设计及规范要 m2 1823,P3,,待解析,,待解析,
3,040103002005,土石方,类型 1,1 m3 1873,P4,,待解析,,待解析,
4,040203006001,道路,类型 1,1 沥青路面恢复 m2 45,P118,,待解析,,待解析,
5,040103002002,土石方,类型 1,1 m3 1873,P4,,待解析,,待解析,
6,040103002001,土石方,类型 1,1 m3 1873,P4,,待解析,,待解析,
7,041001001002,拆除,类型 1,1 4.其他:满足设计及规范要 m2 1823,P3,,待解析,,待解析,
8,040103002004,土石方,类型 1,1 m3 1873,P4,,待解析,,待解析,
9,041001001004,拆除,类型 1,1 4.其他:满足设计及规范要 m2 1823,P3,,待解析,,待解析,
10,041001006008,拆除,类型 1,1 m 21,P3,,待解析,,待解析,
11,040203007001,道路,类型 1,1 m2 1823,P57,,待解析,,待解析,
12,040103002006,土石方,类型 1,1 m3 1873,P4,,待解析,,待解析,
13,041001001003,拆除,类型 1,1 4.其他:满足设计及规范要 m2 1823,P3,,待解析,,待解析,
14,041106001001,措施,类型 1,1 备在现场进行安装拆卸所需 项 1,P19,,待解析,,待解析,
15,040303006001,支护,类型 1,1 混凝土支撑护壁 4.模板:含模板综合考虑 m3 383.,P42,,待解析,,待解析,
16,041001002002,拆除,类型 2,1 m2 2790,P4,,待解析,,待解析,
17,041001006003,拆除,类型 2,1 m 21,P3,,待解析,,待解析,
18,041001006005,拆除,类型 2,1 m 21,P3,,待解析,,待解析,
19,041001006009,拆除,类型 2,1 m 21,P3,,待解析,,待解析,
20,041001002001,拆除,类型 2,1 m2 2790,P4,,待解析,,待解析,
21,041001006001,拆除,类型 2,1 m 21,P3,,待解析,,待解析,
22,040204002002,道路,类型 2,1 m2 2790,P57,,待解析,,待解析,
23,040101002002,土石方,类型 2,1 挖沟槽土石方 5.其他:满足设计及规范要 m3 5244,P18,,待解析,,待解析,
24,040101002003,土石方,类型 2,1 挖沟槽土石方 5.其他:满足设计及规范要 m3 5244,P18,,待解析,,待解析,
25,040504009003,排水,类型 2,1 雨水口 座 5,P38,,待解析,,待解析,
26,040103001005,回填,类型 2,1 沟槽土石方回填 m3 3984.3,P18,,待解析,,待解析,
27,041001006004,拆除,类型 2,1 m 21,P3,,待解析,,待解析,
28,040103001007,回填,类型 2,1 沟槽土石方回填 m3 3984.3,P18,,待解析,,待解析,
29,040101002001,土石方,类型 2,1 挖沟槽土石方 5.其他:满足设计及规范要 m3 5244,P18,,待解析,,待解析,
30,041001006006,拆除,类型 2,1 m 21,P3,,待解析,,待解析,
31,040204002001,道路,类型 2,1 m2 2790,P57,,待解析,,待解析,
32,041001006007,拆除,类型 2,1 m 21,P3,,待解析,,待解析,
33,060104002002,排水,类型 2,1 管道清淤 6.其他:满足设计及规范要 m 324,P32,,待解析,,待解析,
34,010512008003,排水,类型 2,1 套 7,P34,,待解析,,待解析,
35,041001002003,拆除,类型 2,1 m2 2790,P4,,待解析,,待解析,
36,041001006002,拆除,类型 2,1 m 21,P3,,待解析,,待解析,
37,010404001002,回填,类型 2,1 砂垫层 4.密实度要求:满足设计及 m3 269.27,P40,,待解析,,待解析,
