序号,项目编码,清单 1 名称,清单 2 名称,清单 3 名称,差异说明,建议
1,040103002003,建渣外运,建渣外运,余方弃置（起运,清单 3 明确起运距,建议采用清单 3 命名
2,041001001001,混凝土路面拆除,混凝土路面拆除,原有水泥路面拆,,需澄清
3,040103002005,建渣外运,建渣外运,建渣外运（起运,清单 3 明确起运距,建议采用清单 3 命名
4,040203006001,5cm厚改性沥青,5cm厚改性沥青,沥青路面恢复,,需澄清
5,040103002002,余方弃置,余方弃置,建渣外运（每增,清单 3 明确增运距,建议采用清单 3 命名
6,040103002001,建渣外运,建渣外运,建渣外运（起运,清单 3 明确起运距,建议采用清单 3 命名
7,041001001002,车行道沥青路面,车行道沥青路面,碎石垫层拆除,,需澄清
8,040103002004,余方弃置,余方弃置,余方弃置（每增,清单 3 明确增运距,建议采用清单 3 命名
9,041001001004,车行道沥青路面,车行道沥青路面,碎石垫层拆除,,需澄清
10,041001006008,拆除原有,拆除原有,拆除DN300塑料,清单 3 明确管径材质,建议采用清单 3 命名
11,040203007001,透水混凝土基层,透水混凝土基层,车行道水泥路面,,需澄清
12,040103002006,余方弃置,余方弃置,建渣外运（每增,清单 3 明确增运距,建议采用清单 3 命名
13,041001001003,混凝土路面拆除,混凝土路面拆除,原有沥青路面拆,,需澄清
14,041106001001,高空作业车,高空作业车,大型机械设备进,,需澄清
15,040303006001,混凝土支撑腰梁,混凝土支撑腰梁,混凝土支撑护壁,,需澄清
