渝中区污水溢流整治项目 - 行动计划表
编制时间：2026-03-31,,,,,
,,,,,
一、立即行动 (3 天内),,,,,
序号,行动项,责任人,输出物,状态,截止时间
A01,澄清工程量清单版本,项目经理,补充协议,待执行,3 天内
A02,澄清暂估价金额差异,商务经理,澄清函,待执行,7 天内
A03,开设农民工工资专户,财务经理,专户账号,待执行,7 天内
,,,,,
二、短期行动 (7-14 天),,,,,
序号,行动项,责任人,输出物,状态,截止时间
A04,暂估价项目招标策划,采购经理,招标计划,计划中,30 天内
A05,优化施工组织设计,技术负责人,施工方案,计划中,14 天内
A06,建立变更签证制度,商务经理,管理制度,计划中,7 天内
A07,编制现金流计划,财务经理,现金流表,计划中,14 天内
,,,,,
三、长期行动 (持续),,,,,
序号,行动项,责任人,频率,状态,备注
A08,进度款申报,商务经理,每月,常规,每月 25 日前
A09,材料价格监控,商务经理,每月,常规,跟踪造价信息
A10,变更签证台账更新,商务经理,每周,常规,及时记录
A11,成本分析会,项目经理,每月,常规,月末召开
